task,horizon,local_model,global_model,fold,ticker,n,local_primary,global_primary,global_improvement_vs_local_pct,test_start,test_end
classification,5,logistic,logistic,1,NVDA,245,0.7221650514292848,0.722470317270877,-0.0422709242143485,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,PETR4.SA,243,0.66370803735678,0.6727978252164154,-1.369546148007421,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,SPY,245,0.7359665412381631,0.703094617124091,4.46649708542042,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,VALE3.SA,243,0.7112824073700902,0.7063613426211108,0.6918580718416187,2021-10-07,2022-09-27
classification,5,logistic,logistic,1,WEGE3.SA,242,0.7207703035032432,0.7240022129911057,-0.44839659349920863,2021-10-07,2022-09-27
classification,5,logistic,logistic,2,AAPL,244,0.6670852900530952,0.6703669362651948,-0.4919380266709811,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,BOVA11.SA,243,0.7202968922467754,0.7082688193244578,1.6698771092568745,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,ITUB4.SA,243,0.708322731248141,0.7054455851748936,0.40619140771856405,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,JPM,244,0.7035364246761486,0.6759584482259157,3.9199074110381193,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,MSFT,244,0.6804395126628553,0.6779625804490582,0.36401945620467674,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,NVDA,244,0.6781974863785388,0.6590248966505121,2.8269921539233556,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,PETR4.SA,243,0.6959218847587424,0.6868750636931948,1.2999765151348621,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,SPY,244,0.6756612617042729,0.6790676881921291,-0.5041618753255114,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,VALE3.SA,243,0.6850067444897874,0.7030830055632935,-2.6388442477263263,2022-09-28,2023-09-18
classification,5,logistic,logistic,2,WEGE3.SA,243,0.7067054063869259,0.7042142453263229,0.3525034672281903,2022-09-28,2023-09-18
classification,5,logistic,logistic,3,AAPL,245,0.7049402970182305,0.6893159520738515,2.216406837638175,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,BOVA11.SA,244,0.6814823096667608,0.6880874436239828,-0.9692304354095133,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,ITUB4.SA,244,0.6974489573387508,0.6716049846513973,3.705500225560032,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,JPM,245,0.6995924523374509,0.6544622153406353,6.450932517357533,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,MSFT,245,0.6790075920645765,0.6759865252620517,0.44492386209394097,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,NVDA,245,0.6755766014010106,0.6695597707862218,0.8906215227571762,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,PETR4.SA,244,0.6635698868078967,0.6810327870529371,-2.6316595421539803,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,SPY,245,0.6466632387944898,0.6551041178737927,-1.3052974984380439,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,VALE3.SA,243,0.6924134730063278,0.6983206043853576,-0.8531219580956619,2023-09-19,2024-09-09
classification,5,logistic,logistic,3,WEGE3.SA,244,0.6660568944238766,0.6576324839732323,1.2648184443659671,2023-09-19,2024-09-09
classification,5,logistic,logistic,4,AAPL,245,0.7150411756112731,0.6988010307697278,2.2712181333700117,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,BOVA11.SA,244,0.6998148770364533,0.7103478447620966,-1.505107717950759,2024-09-10,2025-09-02
classification,5,logistic,logistic,4,ITUB4.SA,244,0.6938410899884783,0.6956228803704028,-0.25680093145738675,2024-09-10,2025-09-02
